GRE.Score,TOEFL.Score,University.Rating,SOP,LOR,CGPA,Research,Chance.of.Admit,fitted.Chance.of.Admit,ID
337,118,4,4.5,4.5,9.65,1,0.92,0.936719376361543,1
322,110,3,3.5,2.5,8.67,1,0.8,0.752576062793257,2
314,103,2,2,3,8.21,0,0.65,0.625186792179424,3
330,115,5,4.5,3,9.34,1,0.9,0.885703640916595,4
321,109,3,3,4,8.2,1,0.75,0.714837507457425,5
308,101,2,3,4,7.9,0,0.68,0.582415630731948,6
302,102,1,2,1.5,8,0,0.5,0.568698440510031,7
323,108,3,3.5,3,8.6,0,0.45,0.714416607860028,8
325,106,3,3.5,4,8.4,1,0.52,0.730766745825284,9
327,111,4,4,4.5,9,1,0.84,0.840864286906467,10
328,112,4,4,4.5,9.1,1,0.78,0.855454678902699,11
307,109,3,4,3,8,1,0.62,0.652506276493023,12
319,106,3,4,3,8,1,0.65,0.669003888165899,13
303,102,3,3.5,3,8.5,0,0.62,0.649418266589375,14
312,107,3,3,2,7.9,1,0.64,0.642007297149761,15
328,116,5,5,5,9.5,1,0.94,0.937241658701368,16
334,119,5,5,4.5,9.7,1,0.95,0.960263599144418,17
322,109,5,4.5,3.5,8.8,0,0.76,0.779577821507884,18
298,98,2,1.5,2.5,7.5,1,0.44,0.51263147319902,19
295,93,1,2,2,7.2,0,0.46,0.434320602116948,20
300,97,2,3,3,8.1,1,0.65,0.583626466977397,21
340,114,5,4,4,9.6,1,0.9,0.922800117732567,22
299,106,2,4,4,8.4,0,0.64,0.621751770626161,23
307,108,2,4,3.5,7.7,0,0.48,0.558429843747701,24
316,105,2,2.5,2.5,8.2,1,0.49,0.658353778139593,25
313,107,2,2.5,2,8.5,1,0.53,0.6875258449058,26
326,113,5,4.5,4,9.4,1,0.91,0.89456653178143,27
322,110,5,5,4,9.1,1,0.88,0.848718250935973,28
329,114,5,4,5,9.3,1,0.86,0.910014426002279,29
321,110,3,3.5,5,8.85,1,0.82,0.806404239712859,30
327,111,4,3,4,8.4,1,0.78,0.769040156543552,31
313,98,3,2.5,4.5,8.3,1,0.76,0.685784797169371,32
312,100,2,1.5,3.5,7.9,1,0.56,0.612265759687529,33
324,112,4,4,2.5,8.1,1,0.72,0.722131788042686,34
322,110,3,3,3.5,8,0,0.7,0.648213549920813,35
320,103,3,3,3,7.7,0,0.64,0.592881081686196,36
316,102,3,2,3,7.4,0,0.64,0.548148860396386,37
311,104,2,2,2,8.3,0,0.42,0.624637768985993,38
309,100,2,3,3,8.1,0,0.48,0.59590262792636,39
315,107,2,4,3,8.5,1,0.56,0.697979095336684,40
325,111,3,3,3.5,8.7,0,0.52,0.738919876576216,41
327,114,3,3,3,9.02,0,0.61,0.779739977505855,42
316,107,2,3.5,3.5,8.64,1,0.57,0.71982059546863,43
318,109,3,3.5,4,9.22,1,0.68,0.817082967822176,44
332,118,5,5,5,9.64,1,0.94,0.961105161434652,45
336,112,5,5,5,9.76,1,0.96,0.953670520774399,46
314,108,4,4.5,4,9.04,1,0.84,0.807635018861132,47
314,106,3,3,5,8.9,0,0.74,0.76604771532045,48
327,112,3,3,3,8.72,1,0.74,0.773449056689257,49
301,99,2,3,2,8.22,0,0.64,0.578537198980058,50
294,93,1,1.5,2,7.36,0,0.46,0.449558118339986,51
320,110,5,5,4.5,9.22,1,0.92,0.867557520291914,52
322,115,5,4,4.5,9.36,1,0.92,0.901894541760835,53
319,103,4,4.5,3.5,8.66,0,0.76,0.734247076754754,54
315,106,3,4.5,3.5,8.42,0,0.72,0.682024292271675,55
317,107,2,3.5,3,8.28,0,0.66,0.645419811454555,56
299,97,3,5,3.5,7.66,0,0.38,0.531253535899034,57
298,98,2,4,3,8.03,0,0.34,0.54923173559166,58
301,97,2,3,3,7.88,1,0.44,0.56420183178062,59
304,100,4,1.5,2.5,7.84,0,0.42,0.585535708939488,60
306,100,2,3,3,8,0,0.48,0.575361728663623,61
331,120,3,4,4,8.96,1,0.86,0.841282681872037,62
332,119,4,5,4.5,9.24,1,0.9,0.89658650711651,63
323,113,3,4,4,8.88,1,0.79,0.801908161883963,64
322,107,3,3.5,3.5,8.46,1,0.71,0.729846598288106,65
314,106,2,4,3.5,8.25,0,0.62,0.63973995959074,66
317,104,2,4.5,4,8.47,0,0.57,0.676482296547117,67
326,112,3,3.5,3,9.05,1,0.74,0.807166285168454,68
316,110,3,4,4.5,8.78,1,0.69,0.779742921458531,69
329,111,4,4.5,4.5,9.18,1,0.87,0.861154385594795,70
331,116,5,5,5,9.38,1,0.93,0.926386815377397,71
305,108,5,3,3,8.48,0,0.61,0.697204812426714,72
301,107,3,3.5,3.5,8.34,1,0.62,0.667842085202072,73
320,110,2,4,3.5,8.56,0,0.72,0.694546942095225,74
310,106,4,4.5,4.5,9.04,1,0.66,0.801061158920871,75
299,102,3,4,3.5,8.62,0,0.56,0.655335119454915,76
290,104,4,2,2.5,7.46,0,0.45,0.488649621480637,77
327,104,5,3,3.5,8.84,1,0.71,0.80032402259474,78
335,117,5,5,5,9.56,1,0.94,0.949847695358953,79
334,119,5,4.5,4.5,9.48,1,0.94,0.937178845395911,80
308,108,3,3.5,3.5,8.22,0,0.61,0.644248786492638,81
301,106,4,2.5,3,8.47,0,0.57,0.664912247072606,82
300,100,3,2,3,8.66,1,0.64,0.670631276764328,83
323,113,3,4,3,9.32,1,0.85,0.835742097319391,84
319,112,3,2.5,2,8.71,1,0.78,0.75664980656179,85
326,112,3,3.5,3,9.1,1,0.84,0.812406212112958,86
333,118,5,5,5,9.35,1,0.92,0.930993756610387,87
339,114,5,4,4.5,9.76,1,0.96,0.948876862381433,88
309,105,5,3.5,3.5,8.56,0,0.71,0.719010988412097,89
323,112,5,4,4.5,8.78,0,0.79,0.799276174406448,90
314,109,4,3.5,4,8.77,1,0.82,0.782615599493237,91
312,103,3,5,4,8.45,0,0.76,0.681941088682548,92
316,100,2,1.5,3,8.16,1,0.71,0.642471107392514,93
326,116,2,4.5,3,9.08,1,0.8,0.804568259692512,94
329,110,2,4,3,9.15,1,0.84,0.79379066889369,95
331,115,5,4,3.5,9.44,1,0.92,0.901948228447493,96
340,120,4,4.5,4,9.92,1,0.97,0.962634304761349,97
325,112,2,3,3.5,8.96,1,0.8,0.782605967606795,98
320,113,2,2,2.5,8.64,1,0.81,0.737296145271605,99
339,116,4,4,3.5,9.8,1,0.96,0.929092848251118,100
334,114,4,4,4,9.43,1,0.93,0.890514810655707,101
332,116,5,5,5,9.28,1,0.94,0.916299613354252,102
321,112,5,5,5,9.06,1,0.86,0.870125586535497,103
324,105,3,3,4,8.75,0,0.79,0.741640250790195,104
326,108,3,3,3.5,8.89,0,0.8,0.758319821470776,105
312,109,3,3,3,8.69,0,0.77,0.708084318625076,106
315,105,3,2,2.5,8.34,0,0.7,0.661696531692603,107
297,100,1,1.5,2,7.9,0,0.52,0.536820872208398,108
315,103,1,1.5,2,7.86,0,0.57,0.589189942423371,109
298,99,1,1.5,3,7.46,0,0.53,0.491952405912815,110
318,109,3,3,3,8.5,0,0.67,0.696647107668003,111
317,105,3,3.5,3,8.56,0,0.68,0.696140642553089,112
329,111,4,4.5,4,9.01,1,0.81,0.834335014650913,113
313,102,3,2,3,8.27,0,0.64,0.648451739688448,114
293,97,2,2,4,7.8,1,0.64,0.536166268565937,115
311,99,2,2.5,3,7.98,0,0.65,0.584891515521702,116
312,101,2,2.5,3.5,8.04,1,0.68,0.629938242969947,117
334,117,5,4,4.5,9.07,1,0.89,0.887084922989415,118
322,110,4,4,5,9.13,1,0.86,0.857221063923392,119
323,113,4,4,4.5,9.23,1,0.89,0.867745533753107,120
321,111,4,4,4,8.97,1,0.87,0.822209199443867,121
329,119,4,4.5,4.5,9.16,1,0.9,0.886735966065291,122
309,108,3,2.5,3,8.12,0,0.72,0.629404378595769,123
307,102,3,3,3,8.27,0,0.73,0.633463587248966,124
300,104,3,3.5,3,8.16,0,0.71,0.60029131640874,125
314,110,3,4,4,8.8,0,0.75,0.739801374922272,126
335,118,5,4.5,3.5,9.44,1,0.93,0.913538547899744,127
331,115,5,4.5,3.5,9.36,1,0.93,0.893557673182625,128
324,112,5,5,5,9.08,1,0.88,0.875901042164089,129
324,111,5,4.5,4,9.16,1,0.9,0.860687204407516,130
323,110,5,4,5,8.98,1,0.87,0.857615519181821,131
322,114,5,4.5,4,8.94,1,0.86,0.845424648177402,132
316,109,3,3.5,3,8.76,0,0.77,0.724955073105451,133
307,107,2,3,3.5,8.52,1,0.78,0.686205723620844,134
310,106,2,3.5,2.5,8.33,0,0.73,0.631351780002228,135
311,104,3,4.5,4.5,8.43,0,0.7,0.687594785654012,136
313,107,3,4,4.5,8.69,0,0.72,0.728471860660953,137
317,103,3,2.5,3,8.54,1,0.73,0.712699700951924,138
315,110,2,3.5,3,8.46,1,0.72,0.703586750979487,139
340,120,5,4.5,4.5,9.91,1,0.97,0.98547417021581,140
334,120,5,4,5,9.87,1,0.97,0.992953823952442,141
298,105,3,3.5,4,8.54,0,0.69,0.653047313098201,142
295,99,2,2.5,3,7.65,0,0.57,0.491911335069025,143
315,99,2,3.5,3,7.89,0,0.63,0.582598849292896,144
310,102,3,3.5,4,8.02,1,0.66,0.652603812736442,145
301,104,3,3.5,4,8.12,1,0.68,0.642310030570688,146
338,120,4,5,5,9.66,1,0.95,0.956065126295348,147
330,116,5,5,4.5,9.36,1,0.93,0.912558507457764,148
324,110,4,3,3.5,8.97,1,0.84,0.815554262241763,149
312,104,3,3.5,3.5,8.42,0,0.74,0.672692490207764,150
313,103,3,4,4,8.75,0,0.76,0.720909157010611,151
316,110,3,3.5,4,8.56,0,0.75,0.714346831761032,152
324,113,4,4.5,4,8.79,0,0.76,0.779437871229747,153
305,105,2,3,2,8.23,0,0.67,0.601240009084462,154
306,110,2,3.5,4,8.45,0,0.63,0.657488290586031,155
312,110,2,3.5,3,8.53,0,0.64,0.670640832132866,156
318,112,3,4,3.5,8.67,0,0.71,0.727641675996546,157
313,104,3,4,4.5,8.65,0,0.73,0.719098655933369,158
319,106,3,3.5,2.5,8.33,1,0.74,0.699734997184123,159
312,107,2,2.5,3.5,8.27,0,0.69,0.639351425331028,160
304,100,2,2.5,3.5,8.07,0,0.64,0.583094586203802,161
329,114,5,4.5,5,9.19,1,0.86,0.898481787906158,162
310,104,3,2,3.5,8.37,0,0.7,0.661793460816141,163
317,103,2,2.5,2,8.15,0,0.65,0.617297464155491,164
325,114,3,3.5,3,9.04,1,0.76,0.81197145105416,165
314,107,2,2.5,4,8.56,0,0.63,0.686217947421256,166
316,105,3,3,3.5,8.73,0,0.72,0.720412445504458,167
311,104,2,2.5,3.5,8.48,0,0.71,0.658245748548297,168
324,110,3,3.5,4,8.87,1,0.8,0.791932809014778,169
321,111,3,3.5,4,8.83,1,0.77,0.787386758434461,170
320,104,3,3,2.5,8.57,1,0.74,0.720037038100613,171
316,99,2,2.5,3,9,0,0.7,0.720403761227682,172
318,100,2,2.5,3.5,8.54,1,0.71,0.69102626184343,173
335,115,4,4.5,4.5,9.68,1,0.93,0.929329911564474,174
307,110,4,4,4.5,8.37,0,0.79,0.699191488032042,175
309,99,3,4,4,8.56,0,0.76,0.682611967131942,176
324,100,3,4,5,8.64,1,0.78,0.756439905286625,177
326,102,4,5,5,8.76,1,0.77,0.797248321351648,178
331,119,4,5,4.5,9.34,1,0.9,0.906672682654476,179
327,108,5,5,3.5,9.13,1,0.87,0.843479805673889,180
312,104,3,3.5,4,8.09,0,0.71,0.639321409669167,181
324,111,3,2.5,1.5,8.79,1,0.7,0.766755700997873,182
325,110,2,3,2.5,8.76,1,0.75,0.745937132327988,183
312,105,2,2,2.5,8.45,0,0.72,0.649327862965911,184
314,107,3,3,3.5,8.17,1,0.73,0.686161467045068,185
327,113,4,4.5,5,9.14,0,0.83,0.845406873721361,186
308,108,4,4.5,5,8.34,0,0.77,0.706348175790397,187
306,105,2,2.5,3,8.22,1,0.72,0.640286034482558,188
299,96,2,1.5,2,7.86,0,0.54,0.523423625334162,189
294,95,1,1.5,1.5,7.64,0,0.49,0.484600565472901,190
312,99,1,1,1.5,8.01,1,0.52,0.618736002905638,191
315,100,1,2,2.5,7.95,0,0.58,0.598584687102826,192
329,113,5,5,4.5,9.45,1,0.89,0.911089564428729,193
320,101,2,2.5,3,8.62,0,0.7,0.683195925418753,194
308,103,2,3,3.5,8.49,0,0.66,0.650382105531102,195
304,102,2,3,4,8.73,0,0.67,0.673628989823861,196
312,106,3,4,3.5,8.79,1,0.81,0.74347943570436,197
340,112,4,5,4.5,9.66,1,0.94,0.916416085620488,198
331,116,5,4,4,9.26,1,0.93,0.893557637527287,199
324,114,5,5,4.5,9.08,1,0.89,0.871453957579707,200
314,104,4,5,5,9.02,0,0.82,0.79795645968667,201
313,109,3,4,3.5,9,0,0.79,0.75356536156856,202
307,105,2,2.5,3,7.65,0,0.58,0.542490528693319,203
300,102,2,1.5,2,7.87,0,0.56,0.536216511720556,204
316,101,2,2.5,2,8.32,1,0.61,0.655938904656684,205
317,100,2,3,2.5,8.57,0,0.68,0.667094045761889,206
320,120,3,4,4.5,9.11,0,0.86,0.815133474702625,207
309,106,2,2.5,2.5,8,0,0.62,0.588426425414036,208
322,105,2,3,3,8.45,1,0.65,0.6976900792742,209
313,106,2,2.5,2,8.43,0,0.62,0.648070247954424,210
321,109,3,3.5,3.5,8.8,1,0.74,0.770616740626346,211
325,112,4,4,4,9,1,0.8,0.833421274249681,212
312,108,3,3.5,3,8.53,0,0.69,0.686913083488047,213
308,110,4,3.5,3,8.6,0,0.7,0.708836733189719,214
328,108,4,4.5,4,9.18,1,0.84,0.841603198753222,215
311,107,4,4.5,4.5,9,1,0.78,0.802519304770043,216
305,105,2,3,4,8.13,0,0.66,0.60759114783361,217
308,104,2,2.5,3,8.07,0,0.65,0.595149967901304,218
298,101,2,1.5,2,7.86,0,0.54,0.526115820452626,219
317,106,3,4,3.5,8.5,1,0.75,0.723233373400295,220
323,104,3,4,4,8.44,1,0.73,0.726455959888229,221
326,116,3,3.5,4,9.14,1,0.81,0.842593007084312,222
299,100,3,2,2,8.02,0,0.63,0.567593923039209,223
324,112,4,4,3.5,8.77,1,0.8,0.801281004020587,224
297,96,2,2.5,1.5,7.89,0,0.43,0.517817637657037,225
311,105,2,3,2,8.12,1,0.73,0.636825659709967,226
308,106,3,3.5,2.5,8.21,1,0.75,0.663749008813742,227
325,111,4,4,4.5,9.11,1,0.83,0.850598459593701,228
319,110,3,3,2.5,8.79,0,0.72,0.731611355483494,229
332,118,5,5,5,9.47,1,0.94,0.943268469525691,230
323,108,5,4,4,8.74,1,0.81,0.805673280202278,231
312,107,3,3,3,8.46,1,0.75,0.706871931840687,232
326,110,3,3.5,3.5,8.76,1,0.79,0.775380320928379,233
308,106,3,3,3,8.24,0,0.58,0.63835915115085,234
305,103,2,2.5,3.5,8.13,0,0.59,0.597681376137388,235
295,96,2,1.5,2,7.34,0,0.47,0.443909370120155,236
304,97,2,1.5,2,7.64,0,0.47,0.515044106961712,237
299,94,1,1,1,7.34,0,0.42,0.466233924238049,238
302,99,1,2,2,7.25,0,0.57,0.474516364514015,239
313,101,3,2.5,3,8.04,0,0.62,0.618931967020351,240
318,107,3,3,3.5,8.27,1,0.74,0.704093576794899,241
303,100,2,3,3.5,8.06,1,0.64,0.604032287597564,242
327,109,3,3.5,4,8.77,1,0.79,0.780995450236604,243
301,104,2,3.5,3.5,7.89,1,0.68,0.591802113664899,244
314,105,2,2.5,2,7.64,0,0.7,0.552075926036953,245
321,107,2,2,1.5,8.44,0,0.81,0.663432240040552,246
322,110,3,4,5,8.64,1,0.85,0.78573673852327,247
334,116,4,4,3.5,9.54,1,0.93,0.901961037609816,248
306,103,2,2.5,3,8.36,0,0.69,0.623549656371808,249
320,104,3,3.5,4.5,8.34,1,0.74,0.721028305123845,250
311,98,1,1,2.5,7.46,0,0.57,0.527352282494224,251
298,92,1,2,2,7.88,0,0.51,0.528421553175164,252
336,119,4,4.5,4,9.62,1,0.95,0.928168764718558,253
315,105,2,2,2.5,7.65,0,0.39,0.557850514617602,254
304,101,2,2,2.5,7.66,0,0.38,0.525272543820318,255
303,98,1,2,2.5,7.65,0,0.56,0.527948320901832,256
311,99,1,2.5,3,8.43,1,0.71,0.668164384960509,257
322,104,3,3.5,4,8.84,1,0.78,0.767104516753004,258
324,110,4,4.5,4,9.15,1,0.82,0.841428662182951,259
300,100,3,3,3.5,8.26,0,0.62,0.612219589006531,260
340,113,4,5,5,9.74,1,0.96,0.939438709937937,261
335,117,5,5,5,9.82,1,0.96,0.977136349215396,262
302,101,2,2.5,3.5,7.96,0,0.46,0.564438471868975,263
307,105,2,2,3.5,8.1,0,0.53,0.602782493812639,264
296,97,2,1.5,2,7.8,0,0.49,0.505543580821588,265
320,108,3,3.5,4,8.44,1,0.76,0.735258738250817,266
314,102,2,2,2.5,8.24,0,0.64,0.623674673238858,267
318,106,3,2,3,8.65,0,0.71,0.710369743690011,268
326,112,4,4,3.5,9.12,1,0.84,0.839928184004162,269
317,104,2,3,3,8.76,0,0.77,0.699716438886339,270
329,111,4,4.5,4,9.23,1,0.89,0.857393233757549,271
324,110,3,3.5,3.5,9.04,1,0.82,0.802731969733212,272
325,107,3,3,3.5,9.11,1,0.84,0.801310842660409,273
312,103,3,3.5,4,8.78,0,0.67,0.722354011649421,274
333,117,4,5,4,9.66,1,0.95,0.924845513896253,275
304,100,2,3.5,3,8.22,0,0.63,0.59617711615003,276
315,105,2,3,3,8.34,0,0.66,0.646015825490096,277
324,109,3,3.5,3,8.94,1,0.78,0.783691792860736,278
330,116,4,4,3.5,9.23,1,0.91,0.868025995752318,279
311,101,3,2,2.5,7.64,1,0.62,0.596221462202782,280
302,99,3,2.5,3,7.45,0,0.52,0.513608642122322,281
297,101,3,2,4,7.67,1,0.57,0.571004638947206,282
300,98,1,2,2.5,8.02,0,0.61,0.562828512497147,283
301,96,1,3,4,7.56,0,0.54,0.523696725841612,284
313,94,2,2.5,1.5,8.13,0,0.56,0.593724698412037,285
314,102,4,2.5,2,7.88,1,0.59,0.648677397452975,286
321,110,4,3.5,4,8.35,1,0.72,0.753977042094576,287
327,106,4,4,4.5,8.75,1,0.76,0.798354107340749,288
315,104,3,4,2.5,8.1,0,0.65,0.630866500486996,289
316,103,3,3.5,2,7.68,0,0.52,0.577462971820297,290
309,111,2,2.5,4,8.03,0,0.6,0.616039117929103,291
308,102,2,2,3.5,7.98,1,0.58,0.616745557110747,292
299,100,3,2,3,7.42,0,0.42,0.500559758421869,293
321,112,3,3,4.5,8.95,1,0.77,0.812312469115901,294
325,114,5,4,5,9.46,1,0.91,0.92357594450943,295
323,111,5,4,5,9.86,1,0.92,0.953239235526721,296
312,106,3,3,5,8.57,0,0.71,0.721268966693133,297
316,103,2,2,4.5,8.74,0,0.69,0.715297022596969,298
340,115,5,5,4.5,9.06,1,0.95,0.878619993658455,299
320,112,2,3.5,3.5,8.78,1,0.73,0.757616213056321,300
324,112,4,4.5,4,9.22,1,0.86,0.855442463972987,301
316,111,4,4,5,8.54,0,0.71,0.753936619260693,302
309,105,2,2.5,4,7.68,0,0.55,0.563866089816392,303
310,110,1,1.5,4,7.23,1,0.58,0.587294572700765,304
317,106,1,1.5,3.5,7.65,1,0.61,0.626014292739687,305
318,110,1,2.5,3.5,8.54,1,0.67,0.733777798410099,306
312,105,2,1.5,3,8.46,0,0.66,0.654327431841855,307
305,104,2,2.5,1.5,7.79,0,0.53,0.544426251618972,308
332,112,1,1.5,3,8.66,1,0.79,0.761698382140931,309
331,116,4,4.5,4.5,9.44,1,0.92,0.906549564459682,310
321,114,5,4.5,4.5,9.16,1,0.87,0.876159254014656,311
324,113,5,4,5,9.25,1,0.92,0.89710356852565,312
327,118,4,5,5,9.67,1,0.93,0.946476562632128,313
320,108,3,3.5,5,8.97,1,0.84,0.810997448943914,314
312,109,2,2.5,4,9.02,0,0.8,0.74134175886572,315
315,101,3,3.5,4.5,9.13,0,0.79,0.77783885495376,316
320,112,4,3,4.5,8.86,1,0.82,0.821621948161483,317
328,116,4,5,3.5,9.6,1,0.93,0.905589278124097,318
319,103,3,2.5,4,8.76,1,0.73,0.751344446545725,319
299,100,2,2,2,7.88,0,0.51,0.531016886428333,320
312,100,1,3,3,8.53,1,0.69,0.683978514017556,321
301,102,3,2.5,2,8.13,1,0.68,0.618552092746827,322
307,105,4,3,3,7.94,0,0.62,0.617556875428854,323
304,107,3,3.5,3,7.86,0,0.57,0.58165013061477,324
318,101,5,3.5,5,8.78,1,0.78,0.800950147255704,325
323,110,4,4,5,8.88,1,0.81,0.832252126659512,326
326,114,4,4,3.5,9.16,1,0.86,0.850916769887822,327
320,110,5,4,4,9.27,1,0.87,0.86379688169726,328
311,103,3,2,4,8.09,0,0.64,0.635550182351353,329
327,116,4,4,4.5,9.48,1,0.9,0.90825489315442,330
300,101,3,3.5,2.5,7.88,0,0.59,0.558045683932958,331
304,104,3,2.5,2,8.12,0,0.62,0.602668738867256,332
318,103,3,4,4.5,8.49,1,0.71,0.730466297874367,333
325,110,4,4.5,4,8.96,1,0.79,0.822554379771236,334
321,102,3,3.5,4,9.01,1,0.8,0.777374147105054,335
323,107,4,3,2.5,8.48,1,0.78,0.74427836918804,336
328,113,4,4,2.5,8.77,1,0.83,0.799207528645889,337
304,103,5,5,3,7.92,0,0.71,0.618121586472702,338
317,106,3,3.5,3,7.89,1,0.73,0.654175130296339,339
311,101,2,2.5,3.5,8.34,1,0.7,0.658973718042014,340
319,102,3,2.5,2.5,8.37,0,0.68,0.668131291884813,341
322,112,3,3,4,8.62,1,0.76,0.770073171241517,342
302,110,3,4,4.5,8.5,0,0.65,0.679415059394162,343
307,105,2,2.5,4.5,8.12,1,0.67,0.653992725992609,344
298,101,4,2.5,4.5,7.69,1,0.53,0.606183394329269,345
300,95,2,3,1.5,8.22,1,0.62,0.582489120711561,346
301,99,3,2.5,2,8.45,1,0.68,0.642901732499575,347
332,108,5,4.5,4,9.02,1,0.87,0.841853082752128,348
330,120,5,4.5,5,9.56,1,0.93,0.958992529736499,349
312,103,4,4,5,8.43,0,0.73,0.719895460102228,350
327,113,4,4.5,4.5,9.04,0,0.84,0.8219052822198,351
